subject_id,standard_id,academic_band,academic_order,classes,strand_id,strand_title,english,irish
2,0,,,Junior Infants & Senior Infants,,Prerequisites for making drama,Content,Ábhar
2,0,,,Junior Infants & Senior Infants,,Prerequisites for making drama,The fictional lens,An suíomh ficseanach
2,0,,,Junior Infants & Senior Infants,,Prerequisites for making drama,Creating a safe environment,Timpeallacht shábháilte a chruthú
2,0,,,1st Class & 2nd Class,,Prerequisites for making drama,Content,Ábhar
2,0,,,1st Class & 2nd Class,,Prerequisites for making drama,The fictional lens,An suíomh ficseanach
2,0,,,1st Class & 2nd Class,,Prerequisites for making drama,Creating a safe environment,Timpeallacht shábháilte a chruthú
2,0,,,3rd Class & 4th Class,,Prerequisites for making drama,Content,Ábhar
2,0,,,3rd Class & 4th Class,,Prerequisites for making drama,The fictional lens,An suíomh ficseanach
2,0,,,3rd Class & 4th Class,,Prerequisites for making drama,Creating a safe environment,Timpeallacht shábháilte a chruthú
2,0,,,5th Class & 6th Class,,Prerequisites for making drama,Content,Ábhar
2,0,,,5th Class & 6th Class,,Prerequisites for making drama,The fictional lens,An suíomh ficseanach
2,0,,,5th Class & 6th Class,,Prerequisites for making drama,Creating a safe environment,Timpeallacht shábháilte a chruthú
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Belief,Creideamh
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Role and character,Ról agus carachtar
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Action,Gníomhaíocht
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Place,Suíomh
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Time,Am
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Tension,Teannas
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Significance,Brí
2,0,,,Junior Infants & Senior Infants,,Elements of drama,Genre,Genre
2,0,,,1st Class & 2nd Class,,Elements of drama,Belief,Creideamh
2,0,,,1st Class & 2nd Class,,Elements of drama,Role and character,Ról agus carachtar
2,0,,,1st Class & 2nd Class,,Elements of drama,Action,Gníomhaíocht
2,0,,,1st Class & 2nd Class,,Elements of drama,Place,Suíomh
2,0,,,1st Class & 2nd Class,,Elements of drama,Time,Am
2,0,,,1st Class & 2nd Class,,Elements of drama,Tension,Teannas
2,0,,,1st Class & 2nd Class,,Elements of drama,Significance,Brí
2,0,,,1st Class & 2nd Class,,Elements of drama,Genre,Genre
2,0,,,3rd Class & 4th Class,,Elements of drama,Belief,Creideamh
2,0,,,3rd Class & 4th Class,,Elements of drama,Role and character,Ról agus carachtar
2,0,,,3rd Class & 4th Class,,Elements of drama,Action,Gníomhaíocht
2,0,,,3rd Class & 4th Class,,Elements of drama,Place,Suíomh
2,0,,,3rd Class & 4th Class,,Elements of drama,Time,Am
2,0,,,3rd Class & 4th Class,,Elements of drama,Tension,Teannas
2,0,,,3rd Class & 4th Class,,Elements of drama,Significance,Brí
2,0,,,3rd Class & 4th Class,,Elements of drama,Genre,Genre
2,0,,,5th Class & 6th Class,,Elements of drama,Belief,Creideamh
2,0,,,5th Class & 6th Class,,Elements of drama,Role and character,Ról agus carachtar
2,0,,,5th Class & 6th Class,,Elements of drama,Action,Gníomhaíocht
2,0,,,5th Class & 6th Class,,Elements of drama,Place,Suíomh
2,0,,,5th Class & 6th Class,,Elements of drama,Time,Am
2,0,,,5th Class & 6th Class,,Elements of drama,Tension,Teannas
2,0,,,5th Class & 6th Class,,Elements of drama,Significance,Brí
2,0,,,5th Class & 6th Class,,Elements of drama,Genre,Genre
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,léiriú gur gá nó nach gá rud éigin a dhéanamh agus fiosrú faoi,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,léiriú faoina bhfuil ar intinn agus fiosrú faoi,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,tuiscint ar rud éigin a léiriú,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,léiriú gur cuma le duine,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,aiféala a léiriú,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,tacaíocht a léiriú,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,díomá a léiriú,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,dóchas a léiriú,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,ligean air/uirthi,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,scéalta nó scéilíní grinn a chumadh nó a insint,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,"eolas nó aineolas, cuimhne nó easpa cuimhne a léiriú agus fiosrú fúthu",
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,cinnteacht nó éiginnteacht a léiriú agus fiosrú fúthu,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,leibhéal dóchúlachta a léiriú agus fiosrú faoi,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,"gan amhras, is dócha, is féidir, ní móide, gan seans",
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,taitneamh nó easpa taitnimh a léiriú,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,mianta a léiriú agus fiosrú a dhéanamh,
4,1,,,Junior Infants & Senior Infants,,Dearcadh a léiriú agus a lorg,rogha a léiriú agus fiosrú fúithi,
